0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16009,1,5.1638e-06,5.062e-06,1.7058e-10,4.189e-10,5.4979e-10,4.9955e-06,5.0608e-10,5.0096e-06,7.2184e-10,4.9869e-06,7.1758,16.73,241.78,10.134,248.96,26.864,40.09,13.978,54.068,53.263,14.323,67.585,181.02,15.809,196.83
16009,2,1.0328e-05,1.0124e-05,3.7087e-10,8.3807e-10,1.1002e-09,9.991e-06,1.0128e-09,1.0019e-05,1.4669e-09,9.9739e-06,6.9165,16.753,258.99,10.278,265.91,27.03,40.248,13.998,54.246,53.523,14.522,68.045,184.38,15.859,200.24
16009,2.5,1.291e-05,1.2655e-05,4.8215e-10,1.0478e-09,1.3832e-09,1.2489e-05,1.2801e-09,1.2524e-05,1.8483e-09,1.2467e-05,6.3351,17.177,238.15,10.102,244.49,27.28,39.995,14.014,54.009,54.008,16.235,70.244,195.57,15.924,211.49
16009,3,1.5491e-05,1.5186e-05,6.0086e-10,1.2575e-09,1.6776e-09,1.4987e-05,1.5538e-09,1.5029e-05,2.2354e-09,1.4961e-05,6.3791,16.991,242.24,10.9,248.62,27.891,40.39,13.999,54.389,54.69,14.444,69.135,183.93,15.746,199.67
16009,3.5,1.8073e-05,1.7717e-05,7.2699e-10,1.4741e-09,1.9779e-09,1.7484e-05,1.8335e-09,1.7534e-05,2.6284e-09,1.7454e-05,6.4093,18.411,243.94,10.752,250.35,29.163,40.84,14.217,55.057,53.484,14.715,68.199,186.1,15.598,201.7
16009,4,2.0655e-05,2.0248e-05,8.6055e-10,1.7026e-09,2.2842e-09,1.9982e-05,2.1191e-09,2.0038e-05,3.0272e-09,1.9948e-05,6.5106,17.25,241.7,10.347,248.21,27.598,43.39,15.351,58.741,57.726,15.972,73.698,200.01,15.597,215.6
